date,cyclist_id,workout_week,workout_month,elevation_gain,elevation_loss,elevation_average,elevation_maximum,elevation_minimum,temp_avg,temp_min,temp_max,total_time,distance,calories,IF,tss_actual,tss_calculation_method
2023-01-01,653,52,1,1830.0,1834.0,136.800003051758,342.0,34.0,9.309867,8.0,12.0,5.11805534362793,163312.09375,4377.0,0.6929761328598,245.31,Power
2023-01-02,653,1,1,309.0,231.199989318848,110.435043334961,223.399993896484,64.8000030517578,4.175755841428571,9.166666666666666,11.691271783333335,1.0182991027832,27995.189453125,580.0,0.426164503953642,18.37,Power
2023-01-03,653,1,1,1496.0,1497.0,123.400001525879,306.799987792969,-57.0,5.067727,3.0,14.0,4.19305562973022,129565.4765625,3593.0,0.705749862540688,207.99,Power
2023-01-04,653,1,1,180.0,127.0,52.4000015258789,78.0,25.2000007629395,7.33281755,7.0,12.0,3.14055562019348,71923.0625,2355.0,0.591786601384543,125.36,HeartRate
2023-01-05,653,1,1,2240.0,2246.0,145.199996948242,368.799987792969,31.0,7.51987934,6.0,12.0,5.50611114501953,178968.984375,4890.0,0.706959720316532,274.6,Power
2023-01-06,653,1,1,144.0,150.0,40.2000007629395,59.0,25.2000007629395,7.672988,6.0,13.0,1.2591667175293,38663.0390625,814.0,0.50773928070825,32.41,Power
2023-01-07,653,1,1,2026.0,1991.0,174.399993896484,403.600006103516,33.7999992370605,7.16974068,5.0,15.0,4.89777755737305,161113.90625,4503.0,0.724763518883742,256.71,Power
2023-01-08,653,1,1,175.0,167.0,60.4000015258789,92.5999984741211,33.2000007629395,4.50077343,3.0,11.0,1.79583334922791,63262.05078125,1621.0,0.708533804457655,90.41,Power
2023-01-09,653,2,1,101.0,118.0,30.0,52.4000015258789,16.6000003814697,4.6178484,4.0,13.0,1.46166670322418,45315.12890625,1071.0,0.52932191508809,40.85,Power
2023-01-10,653,2,1,1950.0,1930.0,532.799987792969,1028.40002441406,61.4000015258789,12.6724062,8.0,19.0,3.88083338737488,131865.3125,3320.0,0.679031452297258,179.0,Power
2023-01-11,653,2,1,2781.0,2768.0,459.799987792969,1012.79998779297,86.4000015258789,14.7841339,9.0,21.0,4.77055549621582,145540.140625,3928.0,0.712185081489344,241.44,Power
2023-01-12,653,2,1,2007.0,2004.0,206.699996948242,493.399993896484,15.8000001907349,12.9829979,11.0,17.0,3.98333323001861,143592.078125,3496.0,0.7117891927763065,200.61,Power
2023-01-13,653,2,1,400.0,398.0,92.1999969482422,176.399993896484,8.19999980926514,14.9589958,13.0,18.0,1.61055552959442,45784.171875,806.0,0.425740601157651,29.2,Power
2023-01-14,653,2,1,3135.0,3099.0,482.0,1024.0,44.7999992370605,11.3272743,4.0,16.0,5.50722217559814,150270.8125,4206.0,0.718079095928146,283.59,Power
2023-01-15,653,2,1,603.0,598.0,29.3999996185303,117.199996948242,-16.7999992370605,14.5102262,10.0,28.0,3.79388880729675,146588.171875,3104.0,0.699100185725542,185.15,Power
2023-01-16,653,3,1,3434.0,3413.0,547.599975585938,1106.0,79.4000015258789,7.16938972,1.0,15.0,5.13333320617676,150834.484375,4447.0,0.746220796258141,285.61,Power
2023-01-17,653,3,1,363.0,374.0,52.0,128.0,-1.60000002384186,17.0836239,14.0,19.0,1.37999999523163,37877.109375,740.0,0.453088902088574,28.3,Power
2023-01-18,653,3,1,1731.0,1757.0,108.39999898274739,581.400024414063,-7.40000009536743,7.986989000000001,6.0,12.0,4.430833339691155,130526.04296875,3655.0,0.685692774317888,210.04,Power
2023-01-19,653,3,1,2084.0,2067.0,330.2000122070315,1044.19995117188,64.1999969482422,5.97058654,6.75,11.0,4.110833395272493,134633.63690185547,3634.0,0.693570202421993,240.57999999999998,HeartRate
